nx,ny,Re,dt,Tempo de execução(s)
32,32,100,0.01,0.334461
32,32,100,0.001,0.972565
32,32,400,0.01,0.534496
32,32,400,0.001,2.936629
32,32,1000,0.01,0.960969
32,32,1000,0.001,4.796832
64,64,100,0.01,"Didn't converge"
64,64,100,0.001,3.748468
64,64,400,0.01,1.694204
64,64,400,0.001,9.807502
64,64,1000,0.01,2.341358
64,64,1000,0.001,14.736963
128,128,100,0.01,"Didn't converge"
128,128,100,0.001,17.807090
128,128,400,0.01,"Didn't converge"
128,128,400,0.001,49.193306
128,128,1000,0.01,"Didn't converge"
128,128,1000,0.001,73.183583
256,256,100,0.01,"Didn't converge"
256,256,100,0.001,"Didn't converge"
256,256,100,0.0001,281.940192