nx,ny,Re,dt,Paralell Environment,Tempo de execução(s)
32,32,100,0.01,"Threads",1.847974
32,32,100,0.01,"Processes",1.843195
32,32,100,0.001,"Threads",9.265397
32,32,100,0.001,"Processes",9.115444
32,32,400,0.01,"Threads",4.840953
32,32,400,0.01,"Processes",4.849447
32,32,400,0.001,"Threads",25.717201
32,32,400,0.001,"Processes",25.482606
32,32,1000,0.01,"Threads",9.282934
32,32,1000,0.01,"Processes",8.887713
32,32,1000,0.001,"Threads",50.437567
32,32,1000,0.001,"Processes",49.771842
64,64,100,0.01,"Threads","Didn't converge"
64,64,100,0.01,"Processes","Didn't converge"
64,64,100,0.001,"Threads",36.975384
64,64,100,0.001,"Processes",36.925963
64,64,400,0.01,"Threads",17.990677
64,64,400,0.01,"Processes",17.472707
64,64,400,0.001,"Threads",106.629857
64,64,400,0.001,"Processes",106.496927
64,64,1000,0.01,"Threads",26.312065
64,64,1000,0.01,"Processes",24.992072
64,64,1000,0.001,"Threads",158.725786
64,64,1000,0.001,"Processes",160.234425
128,128,100,0.01,"Threads","Didn't converge"
128,128,100,0.01,"Processes","Didn't converge"
128,128,100,0.001,"Threads",161.043162
128,128,100,0.001,"Processes",161.266716
128,128,400,0.01,"Threads","Didn't converge"
128,128,400,0.01,"Processes","Didn't converge"
128,128,400,0.001,"Threads",439.094325
128,128,400,0.001,"Processes",438.138047
128,128,1000,0.01,"Threads","Didn't converge"
128,128,1000,0.01,"Processes","Didn't converge"
128,128,1000,0.001,"Threads",663.722948
128,128,1000,0.001,"Processes",663.204233