nx,ny,Re,dt,Paralell Environment,Número de Iterações (Versão original),Número de Iterações (Nova versão),Tempo de execução(s)
32,32,100,0.01,"Threads",917,921,1.824117
32,32,100,0.01,"Processes",917,921,1.818463
32,32,100,0.001,"Threads",4908,4938,9.521470
32,32,100,0.001,"Processes",4908,4938,9.496452
32,32,400,0.01,"Threads",2571,2526,4.813661
32,32,400,0.01,"Processes",2571,2526,4.820820
32,32,400,0.001,"Threads",13588,13906,26.683649
32,32,400,0.001,"Processes",13588,13906,26.716640
32,32,1000,0.01,"Threads",4703,4030,7.734891
32,32,1000,0.01,"Processes",4703,4030,7.773200
32,32,1000,0.001,"Threads",26670,25277,48.131681
32,32,1000,0.001,"Processes",26670,25277,48.596761
64,64,100,0.01,"Threads",,,"Didn't converge"
64,64,100,0.01,"Processes",,,"Didn't converge"
64,64,100,0.001,"Threads",4995,5003,36.849351
64,64,100,0.001,"Processes",4995,5003,35.968232
64,64,400,0.01,"Threads",2376,2358,17.559893
64,64,400,0.01,"Processes",2376,2358,17.258529
64,64,400,0.001,"Threads",13788,13812,102.508646
64,64,400,0.001,"Processes",13788,13812,101.579937
64,64,1000,0.01,"Threads",3393,3272,24.039958
64,64,1000,0.01,"Processes",3393,3272,23.739777
64,64,1000,0.001,"Threads",21806,21082,154.616369
64,64,1000,0.001,"Processes",21806,21082,153.620131
128,128,100,0.01,"Threads",,,"Didn't converge"
128,128,100,0.01,"Processes",,,"Didn't converge"
128,128,100,0.001,"Threads",5018,5020,157.446597
128,128,100,0.001,"Processes",5018,5020,163.345522
128,128,400,0.01,"Threads",,,"Didn't converge"
128,128,400,0.01,"Processes",,,"Didn't converge"
128,128,400,0.001,"Threads",13796,13796,434.372319
128,128,400,0.001,"Processes",13796,13796,434.781913
128,128,1000,0.01,"Threads",,,"Didn't converge"
128,128,1000,0.01,"Processes",,,"Didn't converge"
128,128,1000,0.001,"Threads",20980,20711,658.519943
128,128,1000,0.001,"Processes",20980,20711,652.813907